id,likes,caption,imageURL,hashtags,comments,upload_date
CWLvRwlLgN-,5252,"Who do you think is the best dancer: #DwayneJohnson, #GalGadot, or #RyanReynolds?🕺💃 Watch the #RedNotice stars answer all of your burning questions.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/248213076_476079607059804_3749089080653575016_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=F0b5ti5Jc1AAX_pOpiV&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=f45cd5ca033761a9452031286f917d2b&oe=61A62DAD&_nc_sid=83d603,"['DwayneJohnson', 'GalGadot', 'RyanReynolds', 'RedNotice']",31,2021-11-12 11:01:51
CWJDqu6NgQa,17087,"It's been 🤚 years since the #Arrival of Denis Villeneuve's sci-fi masterpiece, and the cinematography is still absolutely stunning. 🎥",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/254838843_421547779638146_1376716606008712774_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=oxYSnWba87EAX-yUypx&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=b266eb18e5c75cd714d7aff7567942c5&oe=61A6377F&_nc_sid=83d603,['Arrival'],161,2021-11-11 10:02:14
CWIu7YWNNxU,10763,Happy birthday to the legendary @leonardodicaprio! 👑 What's your favorite film performance of his?,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/255174491_414914286952244_6331877043025138686_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=m8lInGpniMAAX9WOB9u&edm=AABBvjUBAAAA&ccb=7-4&oh=23559b47e7aa251a36405758b5f262ce&oe=61A5E4A6&_nc_sid=83d603,[],210,2021-11-11 07:00:42
CWHPmaFFpMw,4054,"""You're never too old to go to space camp, dude."" 🚀 Today we celebrate the 15th anniversary of #StrangerThanFiction starring #WillFerrell and #EmmaThompson. What's your favorite scene?",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/255152441_429639522138297_8353223555696421879_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MVA7-Q_E_9cAX-LHp2h&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=428ec38563d3a2bdebe6e623d7e7b049&oe=61A5C894&_nc_sid=83d603,"['StrangerThanFiction', 'WillFerrell', 'EmmaThompson']",23,2021-11-10 17:11:29
CWG6SD7voSl,2272,Which @yellowstone villain would you bring back? #ColeHauser and #WesBentley answer your burning questions and explain why @kevincostnermodernwest smells like baseball. ⚾ #YellowstoneTV,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/254830099_1053049815461144_1505575052589959520_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=hGbsRrcPk1YAX87UIBo&edm=AABBvjUBAAAA&ccb=7-4&oh=973a8ea4edbb70bea68b02416b7a8d73&oe=61A5D97E&_nc_sid=83d603,"['ColeHauser', 'WesBentley', 'YellowstoneTV']",21,2021-11-10 14:01:49
CWGfLXxFG_2,3487,"A story behind one of the most influential shows of all time. @NicoleKidman and #JavierBardem star as Lucille Ball and Desi Arnaz in #BeingTheRicardos, arriving in theaters December 10 and on @AmazonPrimeVideo December 21.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/254745005_391912185966018_5687148143027978797_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=JyohGE1JDsYAX-Ic2Ol&edm=AABBvjUBAAAA&ccb=7-4&oh=e7f061c597f0ff4bf671472006d7a138&oe=61A5FE17&_nc_sid=83d603,"['JavierBardem', 'BeingTheRicardos']",20,2021-11-10 10:06:47
CWE7mdVpkeV,47973,Can confirm we are fully off the deep end for these two. 💜💜 #HouseOfGucci @ladygaga,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/254622662_4694415620649300_4954196003720928522_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=fakgF0WezDsAX8GHBYk&edm=AABBvjUBAAAA&ccb=7-4&oh=63c1d5a2adf24c2dc0af2f4bad867a28&oe=61AA9301&_nc_sid=83d603,['HouseOfGucci'],193,2021-11-09 19:33:54
CWCMWB3PkrO,32565,Which #MCU character are you hoping makes a surprise cameo in #SpiderManNoWayHome? 🕸💫,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/254412595_1323687998086414_5298941236384313457_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=NC66ow_TF6wAX8vgH8A&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=b00681f22783d3a8cb754ba1448fdd1c&oe=61AA2787&_nc_sid=83d603,"['MCU', 'SpiderManNoWayHome']",312,2021-11-08 18:02:29
CWBAivytRiw,3713,Raise a glass to the 50th anniversary of #FiddlerOnTheRoof! What’s your favorite song? #MusicalMondays,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/253684126_1050145588888453_1268196201873010979_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=pxwev3Pl7dYAX-BEg4G&edm=AABBvjUBAAAA&ccb=7-4&oh=c0b5fa5884a6df61186ad6d4ab74f609&oe=61A60E4F&_nc_sid=83d603,"['FiddlerOnTheRoof', 'MusicalMondays']",43,2021-11-08 07:00:42
CV__EK-FsLJ,51628,The stars came out in style to celebrate @lacma’s 2021 Art+Film Gala presented by @gucci ✨,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/253570570_683879322581781_2755830940900189284_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6iFCPsWzwoIAX_q6mUp&edm=AABBvjUBAAAA&ccb=7-4&oh=2ea6ea3754e1ccb11e2c2397f6152aab&oe=61AA5300&_nc_sid=83d603,[],115,2021-11-07 21:27:58
CV_gb7aBngk,5646,"Which Eternal has the best superpower? 💫 Who was the funniest person on set? 😂 The stars of #Eternals answer all your burning questions. 

@angelinajolie @kumailn @laurenridloff @donlee @liaryanmchugh @chloezhao",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/253542481_284121860256507_3723642562617931035_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=yFjjTIQhoxwAX8OCBZf&edm=AABBvjUBAAAA&ccb=7-4&oh=9c514d8c2aac2457653cbaac86910a41&oe=61A64EE2&_nc_sid=83d603,['Eternals'],41,2021-11-07 17:01:07
CV-wV9LtXwi,12721,"“We've done our duty. Andy's grown up.” 💚 Which #ToyStory film is your favorite?

📸: Curious Charts / @raccoon.society",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/253211571_215191483946777_784961511873296292_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=k8beqMAM0KoAX-SVeHw&edm=AABBvjUBAAAA&ccb=7-4&oh=9e75412bf33e45d69b99b5d201cedd31&oe=61AB98BC&_nc_sid=83d603,['ToyStory'],192,2021-11-07 10:00:14
CV8gLb2BZGP,3094,"@idriselba, @iamreginaking,  #JonathanMajors, and @zaziebeetz chat about starring in #JeymesSamuel's directorial debut, #TheHarderTheyFall.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/254267372_683462702537700_926106808496198374_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=kJbBaqFOrwIAX9E5P5k&edm=AABBvjUBAAAA&ccb=7-4&oh=6bf8db21ce38df0b366c8d2d245a6b1c&oe=61A615C9&_nc_sid=83d603,"['JonathanMajors', 'JeymesSamuel', 'TheHarderTheyFall']",17,2021-11-06 14:01:03
CV8MSEUJWkn,15052,"Happy Birthday to this pocketful of sunshine. ☀️ From #EasyA to #LaLaLand, which of #EmmaStone’s performances is your favorite?",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/253319883_170417675298387_2986688025793824649_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=u12cBRxV-WoAX8oKINH&edm=AABBvjUBAAAA&ccb=7-4&oh=057a4c3b7e999922989479655a6a968a&oe=61A63E37&_nc_sid=83d603,"['EasyA', 'LaLaLand', 'EmmaStone']",113,2021-11-06 11:08:27
CV6BcsAFDBX,9343,"Happy Birthday, #TildaSwinton! 👑 From #WeNeedToTalkAboutKevin to #Suspiria, which of Tilda’s 98 acting credits is your favorite?",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/253034953_389076422908044_4251187290721830509_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Yjaple01CoEAX8PYcbv&edm=AABBvjUBAAAA&ccb=7-4&oh=c4dfc574e407e1f0af7e7e87f760e739&oe=61A619F1&_nc_sid=83d603,"['TildaSwinton', 'WeNeedToTalkAboutKevin', 'Suspiria']",91,2021-11-05 14:59:19
